company_name,company_description,relationship_to_bond,sector,industry,ISIN,bond_destination,coupon_rate,total_bond_amount,nominal_amount,quarter_created,year_created,maturity_date,bond_currency,country,status,stocks_info,bond_types,Floating rate,Foreign bonds,Green bonds,Securitization,Senior Secured,Senior Unsecured,Zero-coupon bonds
Abb Finance,"Abb Finance B.V. was founded in 2012. The company's line of business includes the management of funds, trusts, and foundations organized for purposes other than religious, educational, charitable, or nonprofit research.",Profile,corporate,Engineering industry,XS1402941790,International bonds,0.63%,"700,000,000 EUR","1,000 EUR",Q2,2017,5/3/2023, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
ABB,"ABB Ltd (ABB) is engaged in power and automation technologies. The Company provides a range of products, systems, solutions and services. Its power businesses focus on power transmission, distribution and power-plant automation and serve electric, gas ...",Profile,corporate,Engineering industry,XS1613121422,International bonds,0.75%,"750,000,000 EUR","1,000 EUR",Q2,2017,5/16/2024, EUR,Switzerland,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845203,International bonds,4.38%,"610,900,000 EUR","100,000 EUR",Q2,2017,3/30/2020, EUR,Spain,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845252,International bonds,4.75%,"364,100,000 EUR","100,000 EUR",Q2,2017,10/25/2019, EUR,Spain,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845260,International bonds,3.75%,"600,000,000 EUR","100,000 EUR",Q2,2017,6/20/2023, EUR,Spain,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845294,International bonds,2.50%,"700,000,000 EUR","100,000 EUR",Q2,2017,2/27/2025, EUR,Spain,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845302,International bonds,1.38%,"1,150,000,000 EUR","100,000 EUR",Q2,2017,5/20/2026, EUR,Spain,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Abertis Infraestructuras,"Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.",Profile,corporate,Construction and development,ES0211845310,International bonds,1%,"500,000,000 EUR","100,000 EUR",Q2,2017,2/27/2027, EUR,Spain,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Acea,"Acea S.p.A., a multiutility company, manages and develops networks and services in the water, energy, and environmental sectors. It provides services to 9 million people and has equity interests in companies operating in Lazio, Tuscany, Umbria, ...",Profile,corporate,Power,XS0495012428,International bonds,4.50%,"422,775,000 EUR","1,000 EUR",Q2,2017,3/16/2020, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Acea,"Acea S.p.A., a multiutility company, manages and develops networks and services in the water, energy, and environmental sectors. It provides services to 9 million people and has equity interests in companies operating in Lazio, Tuscany, Umbria, ...",Profile,corporate,Power,XS0970840095,International bonds,3.75%,"330,389,000 EUR","1,000 EUR",Q2,2017,9/12/2018, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Acea,"Acea S.p.A., a multiutility company, manages and develops networks and services in the water, energy, and environmental sectors. It provides services to 9 million people and has equity interests in companies operating in Lazio, Tuscany, Umbria, ...",Profile,corporate,Power,XS1087831688,International bonds,2.63%,"600,000,000 EUR","1,000 EUR",Q2,2017,7/15/2024, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Acea,"Acea S.p.A., a multiutility company, manages and develops networks and services in the water, energy, and environmental sectors. It provides services to 9 million people and has equity interests in companies operating in Lazio, Tuscany, Umbria, ...",Profile,corporate,Power,XS1508912646,International bonds,1%,"500,000,000 EUR","1,000 EUR",Q2,2017,10/24/2026, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Achmea BV,Achmea BV,Borrower,corporate,Financial institutions,XS0995111761,International bonds,2.50%,"750,000,000 EUR","1,000 EUR",Q2,2017,11/19/2020, EUR,Netherlands,Matured,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Adecco,"Adecco Group SA (formerly Adecco SA) is a Swiss multinational human resource consulting company based in Glattbrugg, Switzerland. Adecco Group is the world's largest provider of HR solutions.",Profile,corporate,Other sectors,XS1237184533,International bonds,1.50%,"300,005,000 EUR","1,000 EUR",Q2,2017,11/22/2022, EUR,Switzerland,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Adecco,"Adecco Group SA (formerly Adecco SA) is a Swiss multinational human resource consulting company based in Glattbrugg, Switzerland. Adecco Group is the world's largest provider of HR solutions.",Profile,corporate,Other sectors,XS1527526799,International bonds,1%,"500,000,000 EUR","1,000 EUR",Q2,2017,12/2/2024, EUR,Switzerland,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Aegon,"Aegon N.V. offers life and health insurance, and related pension, savings, and investment products in Europe and North America. The Company also offers property and casualty insurance in the Netherlands, Spain, and Hungary, and financial services ...",Profile,corporate,Financial institutions,XS0805452405,International bonds,3.00%,"500,000,000 EUR","1,000 EUR",Q2,2017,7/18/2017, EUR,Netherlands,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Aegon,"Aegon N.V. offers life and health insurance, and related pension, savings, and investment products in Europe and North America. The Company also offers property and casualty insurance in the Netherlands, Spain, and Hungary, and financial services ...",Profile,corporate,Financial institutions,XS1529854793,International bonds,1%,"500,000,000 EUR","1,000 EUR",Q2,2017,12/8/2023, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Aeroporti di Roma,"Aeroporti di Roma S.p.A., together with its subsidiaries, is engaged in the construction and management of airports, as well as in activities connected with or complementary to air traffic in Italy. The company operates and manages ...",Profile,corporate,Transportation,XS1004236185,International bonds,3.25%,"400,001,000 EUR","1,000 EUR",Q2,2017,2/20/2021, EUR,Italy,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Aeroporti di Roma,"Aeroporti di Roma S.p.A., together with its subsidiaries, is engaged in the construction and management of airports, as well as in activities connected with or complementary to air traffic in Italy. The company operates and manages ...",Profile,corporate,Transportation,XS1627947440,International bonds,1.63%,"500,000,000 EUR","1,000 EUR",Q2,2017,6/8/2027, EUR,Italy,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Aeroports de Paris,"Aéroports de Paris builds, develops, and manages airports, including Paris-Charles de Gaulle, Paris-Orly, and Paris-Le Bourget. The company provides facilities to accommodate passengers and airlines, as well as offers cargo and postal services in its airports. ...",Profile,corporate,Transportation,FR0011266527,International bonds,3.13%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/11/2024, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Aeroports de Paris,"Aéroports de Paris builds, develops, and manages airports, including Paris-Charles de Gaulle, Paris-Orly, and Paris-Le Bourget. The company provides facilities to accommodate passengers and airlines, as well as offers cargo and postal services in its airports. ...",Profile,corporate,Transportation,FR0011509488,International bonds,2.75%,"600,000,000 EUR","100,000 EUR",Q2,2017,6/5/2028, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Aeroports de Paris,"Aéroports de Paris builds, develops, and manages airports, including Paris-Charles de Gaulle, Paris-Orly, and Paris-Le Bourget. The company provides facilities to accommodate passengers and airlines, as well as offers cargo and postal services in its airports. ...",Profile,corporate,Transportation,FR0012206993,International bonds,1.50%,"500,000,000 EUR","100,000 EUR",Q2,2017,4/7/2025, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Aeroports de Paris,"Aéroports de Paris builds, develops, and manages airports, including Paris-Charles de Gaulle, Paris-Orly, and Paris-Le Bourget. The company provides facilities to accommodate passengers and airlines, as well as offers cargo and postal services in its airports. ...",Profile,corporate,Transportation,FR0012861821,International bonds,1.50%,"500,000,000 EUR","100,000 EUR",Q2,2017,7/24/2023, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide,"Air Liquide SA, through its subsidiaries, produces, markets, and sells industrial and healthcare gases, including liquid nitrogen, argon, carbon dioxide, and oxygen worldwide. The Company also produces welding, diving, and technical-medical equipment. Air Liquide sells its ...",Profile,corporate,Chemical and petrochemical industry,FR0010908905,International bonds,3.89%,"500,000,000 EUR","50,000 EUR",Q2,2017,6/9/2020, EUR,France,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0011344076,International bonds,2.13%,"500,000,000 EUR","100,000 EUR",Q2,2017,10/15/2021, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide,"Air Liquide SA, through its subsidiaries, produces, markets, and sells industrial and healthcare gases, including liquid nitrogen, argon, carbon dioxide, and oxygen worldwide. The Company also produces welding, diving, and technical-medical equipment. Air Liquide sells its ...",Profile,corporate,Chemical and petrochemical industry,FR0011521277,International bonds,1.50%,"250,000,000 EUR","100,000 EUR",Q2,2017,6/17/2019, EUR,France,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0011951771,International bonds,1.88%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/5/2024, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0012766889,International bonds,1.25%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/3/2025, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0013153822,International bonds,0.38%,"300,000,000 EUR","100,000 EUR",Q2,2017,4/18/2022, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0013182805,International bonds,0.13%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/13/2020, EUR,France,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0013182821,International bonds,0.50%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/13/2022, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0013182839,International bonds,0.75%,"500,000,000 EUR","100,000 EUR",Q2,2017,6/13/2024, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide Finance,"Air Liquide Finance SA was incorporated in 1999 and is based in Paris, France. Air Liquide Finance SA operates as a subsidiary of Air Liquide SA. Air Liquide Finance was set up to issue notes and ...",Profile,corporate,Chemical and petrochemical industry,FR0013182847,International bonds,1.25%,"1,000,000,000 EUR","100,000 EUR",Q2,2017,6/13/2028, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide,"Air Liquide SA, through its subsidiaries, produces, markets, and sells industrial and healthcare gases, including liquid nitrogen, argon, carbon dioxide, and oxygen worldwide. The Company also produces welding, diving, and technical-medical equipment. Air Liquide sells its ...",Profile,corporate,Chemical and petrochemical industry,FR0013241346,International bonds,1%,"600,000,000 EUR","100,000 EUR",Q2,2017,3/8/2027, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide,"Air Liquide SA, through its subsidiaries, produces, markets, and sells industrial and healthcare gases, including liquid nitrogen, argon, carbon dioxide, and oxygen worldwide. The Company also produces welding, diving, and technical-medical equipment. Air Liquide sells its ...",Profile,corporate,Chemical and petrochemical industry,FR0010948257,International bonds,2.91%,"456,750,000 EUR","50,000 EUR",Q2,2017,10/12/2018, EUR,France,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Air Liquide,"Air Liquide SA, through its subsidiaries, produces, markets, and sells industrial and healthcare gases, including liquid nitrogen, argon, carbon dioxide, and oxygen worldwide. The Company also produces welding, diving, and technical-medical equipment. Air Liquide sells its ...",Profile,corporate,Chemical and petrochemical industry,FR0011439835,International bonds,2.38%,"300,000,000 EUR","100,000 EUR",Q2,2017,9/6/2023, EUR,France,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Airbus,"Airbus SE, through its subsidiaries, provides aerospace products, services, and solutions worldwide.",Profile,corporate,Engineering industry,XS1050846507,International bonds,2.38%,"1,000,000,000 EUR","1,000 EUR",Q2,2017,4/2/2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Airbus,"Airbus SE, through its subsidiaries, provides aerospace products, services, and solutions worldwide.",Profile,corporate,Engineering industry,XS1128224703,International bonds,2.13%,"500,000,000 EUR","1,000 EUR",Q2,2017,10/29/2029, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Airbus,"Airbus SE, through its subsidiaries, provides aerospace products, services, and solutions worldwide.",Profile,corporate,Engineering industry,XS1410582313,International bonds,1.38%,"900,000,000 EUR","1,000 EUR",Q2,2017,5/13/2031, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Airbus,"Airbus SE, through its subsidiaries, provides aerospace products, services, and solutions worldwide.",Profile,corporate,Engineering industry,XS1410582586,International bonds,0.88%,"600,000,000 EUR","1,000 EUR",Q2,2017,5/13/2026, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Akzo Nobel,"Akzo Nobel is a Dutch multinational, active in the fields of decorative paints, performance coatings and specialty chemicals. Headquartered in Amsterdam, the company has activities in more than 80 countries, and employs approximately 50,000 people.",Profile,corporate,Chemical and petrochemical industry,XS0719962986,International bonds,4%,"800,000,000 EUR","1,000 EUR",Q2,2017,12/17/2018, EUR,Netherlands,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Akzo Nobel,"Akzo Nobel is a Dutch multinational, active in the fields of decorative paints, performance coatings and specialty chemicals. Headquartered in Amsterdam, the company has activities in more than 80 countries, and employs approximately 50,000 people.",Profile,corporate,Chemical and petrochemical industry,XS1134519120,International bonds,1.75%,"500,000,000 EUR","1,000 EUR",Q2,2017,11/7/2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Akzo Nobel,"Akzo Nobel is a Dutch multinational, active in the fields of decorative paints, performance coatings and specialty chemicals. Headquartered in Amsterdam, the company has activities in more than 80 countries, and employs approximately 50,000 people.",Profile,corporate,Chemical and petrochemical industry,XS1391625289,International bonds,1.13%,"500,000,000 EUR","1,000 EUR",Q2,2017,4/8/2026, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Alliander,"The business units of Liander and Liandon make up the network company Alliander whose staff of around 7,000 are responsible for energy distribution in large areas of the Netherlands.",Profile,corporate,Power,XS0792977984,International bonds,2.88%,"400,000,000 EUR","1,000 EUR",Q2,2017,6/14/2024, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Alliander,"The business units of Liander and Liandon make up the network company Alliander whose staff of around 7,000 are responsible for energy distribution in large areas of the Netherlands.",Profile,corporate,Power,XS0854759080,International bonds,2.25%,"400,000,000 EUR","1,000 EUR",Q2,2017,11/14/2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Alliander,"The business units of Liander and Liandon make up the network company Alliander whose staff of around 7,000 are responsible for energy distribution in large areas of the Netherlands.",Profile,corporate,Power,XS1400167133,International bonds,0.88%,"300,000,000 EUR","100,000 EUR",Q2,2017,4/22/2026, EUR,Netherlands,Outstanding,"Par amount, integral multiple",Green bonds,no,no,yes,no,no,no,no
Allianz,"Allianz SE, through subsidiaries, offers insurance and financial services. The Company offers property and casualty, life and health, credit, motor vehicle, and travel insurance, as well as and fund management services.",Profile,corporate,Financial institutions,DE000A1AKHB8,International bonds,4.75%,"1,500,000,000 EUR","50,000 EUR",Q2,2017,7/22/2019, EUR,Germany,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Allianz Finance II B.V.,"Allianz Finance II B.V. engages in issuing bonds on behalf of and under a guarantee by Allianz SE. It lends the cash collected through a bond issue in full to Allianz SE or, if agreed so, ...",Profile,corporate,Financial institutions,DE000A1G0RU9,International bonds,3.50%,"1,500,000,000 EUR","100,000 EUR",Q2,2017,2/14/2022, EUR,Netherlands,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Allianz,"Allianz SE, through subsidiaries, offers insurance and financial services. The Company offers property and casualty, life and health, credit, motor vehicle, and travel insurance, as well as and fund management services.",Profile,corporate,Financial institutions,DE000A1HG1J8,International bonds,1.38%,"500,000,000 EUR","100,000 EUR",Q2,2017,3/13/2018, EUR,Germany,Matured,"Par amount, integral multiple",,no,no,no,no,no,no,no
Allianz Finance II B.V.,"Allianz Finance II B.V. engages in issuing bonds on behalf of and under a guarantee by Allianz SE. It lends the cash collected through a bond issue in full to Allianz SE or, if agreed so, ...",Profile,corporate,Financial institutions,DE000A180B72,International bonds,0%,"750,000,000 EUR","100,000 EUR",Q2,2017,4/21/2020, EUR (1461D),Netherlands,Early redeemed,"Par amount, integral multiple",Zero-coupon bonds,no,no,no,no,no,no,yes
Alstria Office REIT,"Alstria office REIT-AG, based in Hamburg, is a publicly traded real estate company in the legal form of a real estate investment trust (REIT).",Profile,corporate,Financial institutions,XS1323052180,International bonds,2.25%,"500,000,000 EUR","100,000 EUR",Q2,2017,3/24/2021, EUR,Germany,Early redeemed,"Par amount, integral multiple",,no,no,no,no,no,no,no
Alstria Office REIT,"Alstria office REIT-AG, based in Hamburg, is a publicly traded real estate company in the legal form of a real estate investment trust (REIT).",Profile,corporate,Financial institutions,XS1346695437,International bonds,2.13%,"325,000,000 EUR","100,000 EUR",Q2,2017,4/12/2023, EUR,Germany,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Amadeus IT Group,"Amadeus IT Group, S.A., together with its subsidiaries, operates as a transaction processor for the travel and tourism industry worldwide.",Profile,corporate,Information and High Technologies,XS1322048619,International bonds,1.63%,"500,000,000 EUR","100,000 EUR",Q2,2017,11/17/2021, EUR,Spain,Outstanding,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Amadeus IT Group,"Amadeus IT Group, S.A., together with its subsidiaries, operates as a transaction processor for the travel and tourism industry worldwide.",Profile,corporate,Information and High Technologies,XS1501162876,International bonds,0.13%,"500,000,000 EUR","100,000 EUR",Q2,2017,10/6/2020, EUR,Spain,Matured,"Par amount, integral multiple",Senior Unsecured,no,no,no,no,no,yes,no
Amadeus IT Group,"Amadeus IT Group, S.A., together with its subsidiaries, operates as a transaction processor for the travel and tourism industry worldwide.",Profile,corporate,Information and High Technologies,XS1616407869,International bonds,0%,"500,000,000 EUR","100,000 EUR",Q2,2017,5/19/2019, EUR (730D),Spain,Matured,"Par amount, integral multiple",Zero-coupon bonds,no,no,no,no,no,no,yes
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6276038419,International bonds,FRN,"750,000,000 EUR","1,000 EUR",Q2,2017,10/19/2018, EUR,Belgium,Matured,"Par amount, integral multiple",Floating rate,yes,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6276039425,International bonds,0.80%,"1,000,000,000 EUR","1,000 EUR",Q2,2017,4/20/2023, EUR,Belgium,Early redeemed,"Par amount, integral multiple",,no,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6276040431,International bonds,1.50%,"1,250,000,000 EUR","1,000 EUR",Q2,2017,4/18/2030, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285450449,International bonds,FRN,"1,250,000,000 EUR","1,000 EUR",Q2,2017,3/17/2020, EUR,Belgium,Matured,"Par amount, integral multiple",Floating rate,yes,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285451454,International bonds,0.63%,"1,750,000,000 EUR","1,000 EUR",Q2,2017,3/17/2020, EUR,Belgium,Early redeemed,"Par amount, integral multiple",,no,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285452460,International bonds,0.88%,"2,000,000,000 EUR","1,000 EUR",Q2,2017,3/17/2022, EUR,Belgium,Early redeemed,"Par amount, integral multiple",,no,no,no,no,no,no,no
Anheuser-Busch InBev,Anheuser-Busch InBev SA/NV manufactures alcoholic beverages. The Company produces and distributes beers. Anheuser-Busch InBev serves customers worldwide.,Profile,corporate,Food industry,BE6285454482,International bonds,1.50%,"2,500,000,000 EUR","1,000 EUR",Q2,2017,3/17/2025, EUR,Belgium,Early redeemed,"Par amount, integral multiple",,no,no,no,no,no,no,no
